,datetime,generation_coal,generation_solar,generation_other_renewable,generation_outsourcing_estimated,demand,predicted
0,2017-04-01 00:00:00,307,41,98,715.2546209999999,1102.1969,1105.4055119424181
1,2017-04-01 01:00:00,302,41,96,722.8846209999999,1102.1969,1096.0223187249355
2,2017-04-01 02:00:00,304,41,100,675.6514330000001,1064.8637,1055.198209338411
3,2017-04-01 03:00:00,303,41,99,641.3363800000001,1031.382,1027.5679559995745
4,2017-04-01 04:00:00,301,41,98,615.3063080000001,1004.5012,1000.7602946535635
5,2017-04-01 05:00:00,293,42,99,601.170425,985.5325,992.9019003312369
6,2017-04-01 06:00:00,293,42,94,601.061534,980.4326,977.6601734206016
7,2017-04-01 07:00:00,296,66,92,524.789765,935.4585,937.1606609985143
8,2017-04-01 08:00:00,298,74,89,607.1668420000001,1018.0338,1024.8998087987422
9,2017-04-01 09:00:00,297,377,91,399.5942180000001,1131.6002,1126.913825201267
10,2017-04-01 10:00:00,296,968,94,0.0,1215.7617,1209.7261018422016
11,2017-04-01 11:00:00,302,1479,96,0.0,1269.902,1261.5175951868785
12,2017-04-01 12:00:00,305,1834,96,0.0,1295.5512,1297.3668825190466
13,2017-04-01 13:00:00,306,1954,98,0.0,1294.9251,1304.4291834204982
14,2017-04-01 14:00:00,309,1937,101,0.0,1289.901,1296.8317261555542
15,2017-04-01 15:00:00,320,1763,100,0.0,1266.1786,1275.6798707601054
16,2017-04-01 16:00:00,323,1221,98,0.0,1215.4256,1219.056494785262
17,2017-04-01 17:00:00,325,389,101,417.6019990000001,1198.1211,1206.2403095936766
18,2017-04-01 18:00:00,317,65,101,759.3552579999999,1179.6562,1168.8234275254247
19,2017-04-01 19:00:00,305,47,101,843.8219740000001,1227.1486,1216.5472158811992
20,2017-04-01 20:00:00,303,43,106,891.046551,1269.4739,1264.591315956623
21,2017-04-01 21:00:00,304,38,107,882.529945,1258.6605,1248.4496345735688
22,2017-04-01 22:00:00,311,38,106,826.604988,1213.3532,1211.7539257391534
23,2017-04-01 23:00:00,314,37,103,785.845964,1174.9596,1179.2388142847317
24,2017-04-02 00:00:00,273,30,77,808.7707350000002,1121.9915,1120.8729719856542
25,2017-04-02 01:00:00,271,31,75,789.247963,1101.0807,1109.9777414257892
26,2017-04-02 02:00:00,270,29,75,733.7820050000001,1047.1945,1051.704057723996
27,2017-04-02 03:00:00,273,27,76,705.929126,1023.6414,1018.9810916534467
28,2017-04-02 04:00:00,270,28,74,675.604018,991.8202,995.2496444531956
29,2017-04-02 05:00:00,273,28,73,632.110838,953.9182,950.9235373826691
30,2017-04-02 06:00:00,272,28,74,629.742268,951.7452,960.2201812289429
31,2017-04-02 07:00:00,276,52,74,530.410132,888.6148,882.0305209121277
32,2017-04-02 08:00:00,278,76,75,522.3506720000001,908.2208,906.4246143682775
33,2017-04-02 09:00:00,281,312,85,306.6067540000001,959.2906,962.2482634607217
34,2017-04-02 10:00:00,281,728,87,0.0,1016.4693,1011.5570929069129
35,2017-04-02 11:00:00,282,1119,90,0.0,1080.19,1076.3084810921207
36,2017-04-02 12:00:00,283,1311,91,0.0,1126.6063,1130.3639013729437
37,2017-04-02 13:00:00,284,1368,91,0.0,1136.5212,1136.7199979740692
38,2017-04-02 14:00:00,283,1196,91,0.0,1164.4966,1168.3489824019578
39,2017-04-02 15:00:00,283,889,89,0.0,1154.9803,1155.6258842327718
40,2017-04-02 16:00:00,285,717,91,32.61160099999989,1122.9189,1117.0184775926
41,2017-04-02 17:00:00,284,415,93,345.530109,1109.0001,1108.8259291947666
42,2017-04-02 18:00:00,283,115,92,641.0745620000001,1078.1418,1074.3156727452158
43,2017-04-02 19:00:00,283,66,92,773.5235140000001,1150.6546,1161.7827943210607
44,2017-04-02 20:00:00,286,66,91,821.7899130000001,1196.9357,1197.4682229215614
45,2017-04-02 21:00:00,289,34,93,881.135835,1224.3815,1225.0647712673838
46,2017-04-02 22:00:00,288,33,92,862.657174,1204.4286,1206.9286717087941
47,2017-04-02 23:00:00,288,32,92,824.391525,1168.3225,1174.5190711343776
48,2017-04-03 00:00:00,295,24,96,749.1477350000001,1102.2915,1109.2633091808416
49,2017-04-03 01:00:00,292,25,95,696.7553590000002,1051.2251,1041.1419313471185
50,2017-04-03 02:00:00,289,25,96,662.31888,1017.632,1015.6261520669436
51,2017-04-03 03:00:00,290,26,97,621.402133,983.0937,976.1547032861223
52,2017-04-03 04:00:00,285,26,95,592.8888230000001,949.9347,941.7050068814214
