datetime,city_name,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,clouds_all,weather_description,solar conversion,solar availaible household,total solar
01-04-2017 00:00,Delhi,279.44,278.15,281.15,1030,88,6,280,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 01:00,Delhi,279.58,279.15,280.15,1030,65,4,280,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 02:00,Delhi,280.58,280.15,281.15,1030,61,5,280,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 03:00,Delhi,280.13,279.15,281.15,1030,89,5,280,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 04:00,Delhi,279.01,278.15,280.15,1030,89,5,250,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 05:00,Delhi,278.44,277.15,280.15,1031,56,4,230,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 06:00,Delhi,277.72,277.15,278.15,1031,88,2,120,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 07:00,Delhi,276.15,276.15,276.15,1030,93,3,130,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 08:00,Delhi,275.15,275.15,275.15,1031,88,2,230,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 09:00,Delhi,274.62,273.15,275.15,1032,87,2,230,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 10:00,Delhi,275.12,273.15,277.15,1032,80,3,210,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 11:00,Delhi,278.12,277.15,279.15,1033,81,3,240,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 12:00,Delhi,279.38,278.15,280.15,1033,70,2,240,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 13:00,Delhi,280.53,280.15,281.15,1032,61,5,210,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 14:00,Delhi,282.15,282.15,282.15,1032,61,5,220,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 15:00,Delhi,283.15,282.15,284.15,1031,61,7,230,0,0,0,sky is clear,100%,19.72,19.72
01-04-2017 16:00,Delhi,284.13,283.15,285.15,1030,57,5,220,0,0,40,scattered clouds,80%,15.776,19.72
01-04-2017 17:00,Delhi,283.65,283.15,284.15,1030,66,5,220,0,0,75,broken clouds,50%,9.86,19.72
01-04-2017 18:00,Delhi,283.16,282.15,284.15,1029,71,5,190,0,0,20,few clouds,25%,4.93,19.72
01-04-2017 19:00,Delhi,282.5,282.15,283.15,1031,76,3,220,0,0,75,broken clouds,50%,9.86,19.72
01-04-2017 20:00,Delhi,282.13,281.15,283.15,1031,81,3,210,0,0,75,broken clouds,50%,9.86,19.72
01-04-2017 21:00,Delhi,281.81,281.15,282.15,1031,81,4,200,0,0,75,broken clouds,50%,9.86,19.72
01-04-2017 22:00,Delhi,281.58,281.15,282.15,1030,81,9,220,0,0,20,few clouds,25%,4.93,19.72
01-04-2017 23:00,Delhi,282.13,281.15,283.15,1030,76,8,230,0,0,0,sky is clear,100%,19.72,19.72
02-04-2017 00:00,Delhi,281.44,280.15,283.15,1031,71,8,230,0,0,0,sky is clear,100%,19.72,19.72
02-04-2017 01:00,Delhi,281.44,280.15,283.15,1031,71,7,270,0,0,0,sky is clear,100%,19.72,19.72
02-04-2017 02:00,Delhi,282.01,281.15,283.15,1031,66,6,230,0,0,20,few clouds,25%,4.93,19.72
02-04-2017 03:00,Delhi,281.01,280.15,282.15,1031,76,5,250,0,0,0,sky is clear,100%,19.72,19.72
02-04-2017 04:00,Delhi,280.44,279.15,282.15,1031,70,5,220,0,0,0,sky is clear,100%,19.72,19.72
02-04-2017 05:00,Delhi,280.3,278.15,283.15,1030,61,5,270,0,0,0,sky is clear,100%,19.72,19.72
02-04-2017 06:00,Delhi,280.3,278.15,283.15,1030,61,6,280,0,0,0,sky is clear,100%,19.72,19.72
02-04-2017 07:00,Delhi,281.4,280.15,283.15,1030,61,5,280,0,0,0,sky is clear,100%,19.72,19.72
02-04-2017 08:00,Delhi,280.82,279.15,283.15,1031,66,2,300,0,0,40,scattered clouds,80%,15.776,19.72
02-04-2017 09:00,Delhi,280.9,277.15,283.15,1031,66,4,250,0,0,20,few clouds,25%,4.93,19.72
02-04-2017 10:00,Delhi,280.32,277.15,282.15,1032,66,0,0,0,0,20,few clouds,25%,4.93,19.72
02-04-2017 11:00,Delhi,279.53,278.15,281.15,1033,93,5,220,0,0,20,few clouds,25%,4.93,19.72
02-04-2017 12:00,Delhi,282.55,281.15,285.15,1033,87,7,250,0,0,20,few clouds,25%,4.93,19.72
02-04-2017 13:00,Delhi,283.54,282.15,285.15,1033,76,5,240,0,0,20,few clouds,25%,4.93,19.72
02-04-2017 14:00,Delhi,284.93,284.15,286.15,1032,66,5,230,0,0,75,broken clouds,50%,9.86,19.72
02-04-2017 15:00,Delhi,285.34,284.15,287.15,1032,71,4,200,0,0,40,scattered clouds,80%,15.776,19.72
02-04-2017 16:00,Delhi,285.75,285.15,287.15,1032,66,3,220,0,0,0,sky is clear,100%,19.72,19.72
